ion,airwave,ritzwave,relint
Cu I,4010.043,4010.073,0
Cu I,4010.836,4010.852,8
Cu I,4015.8,4015.898,10
Cu I,4022.629,4022.6286,1250
Cu I,4027.026,4027.022,10
Cu II,4032.647,,100
Cu II,4043.484,,600
Cu II,4043.751,,500
Cu I,4050.617,4050.641,20
Cu I,4052.380,4052.381,2
Cu I,4056.38,4056.3699,35
Cu I,4056.78,4056.8581,35
Cu I,4062.641,4062.6378,2000
Cu I,4063.238,4063.2372,650
Cu II,4068.106,,120
Cu I,4069.53,4069.524,6
Cu I,4073.224,4073.230,20
Cu I,4075.572,4075.578,50
Cu I,4080.534,4080.506,15
Cu III,4090.49,,100
Cu I,4097.215,4097.243,0
Cu I,4104.218,4104.212,25
Cu I,4111.4,4111.333,3
Cu I,4121.74,4121.695,10
Cu I,4123.287,4123.266,30
Cu II,4131.363,,500
Cu II,4143.017,,200
Cu II,4153.623,,300
Cu II,4161.140,,500
Cu II,4164.284,,370
Cu II,4171.851,,400
Cu I,4177.758,4177.753,100
Cu II,4179.512,,500
Cu XIV,4183.4,4183,
Cu II,4211.866,,500
Cu I,4218.8,4218.755,2
Cu II,4230.449,,320
Cu I,4230.9,4230.955,5
Cu I,4242.26,4242.261,30
Cu I,4248.956,4248.956,150
Cu I,4253.390,4253.370,20
Cu II,4255.635,,200
Cu I,4259.401,4259.443,150
Cu I,4267.204,4267.221,2
Cu I,4275.107,4275.108,950
Cu II,4279.962,,300
Cu III,4283.40,,200
Cu II,4292.470,,500
Cu I,4328.68,4328.782,20
Cu I,4336.00,4335.983,10
Cu III,4351.97,,500
Cu III,4352.80,,1000
Cu I,4354.74,4354.679,10
Cu III,4355.24,,500
Cu II,4365.370,,400
Cu III,4370.84,,500
Cu III,4371.40,,500
Cu III,4373.43,,500
Cu III,4377.11,,1000
Cu I,4378.20,4378.156,550
Cu III,4386.42,,200
Cu I,4397.0,4397.006,10
Cu I,4415.54,4415.551,200
Cu I,4423.81,4423.826,0
Cu XXVIII,,4443,
Cu II,4444.831,,100
Cu I,4480.350,4480.3494,500
Cu II,4506.002,,400
Cu I,4507.35,4507.420,200
Cu I,4509.374,4509.382,400
Cu I,4513.192,4513.187,50
Cu II,4516.049,,150
Cu I,4525.112,4525.113,40
Cu I,4530.785,4530.7828,800
Cu I,4539.695,4539.699,800
Cu II,4541.032,,150
Cu II,4555.920,,500
Cu I,4586.97,4586.967,1300
Cu II,4596.906,,100
Cu I,4642.58,4642.586,150
Cu II,4649.271,,120
Cu I,4651.124,4651.122,2000
Cu II,4661.363,,120
Cu II,4671.702,,320
Cu II,4673.577,,300
Cu I,4674.72,4674.794,500
Cu I,4677.340,4677.344,3
Cu II,4681.994,,450
Cu I,4697.490,4697.477,350
Cu I,4701.71,4701.61,10
Cu I,4704.594,4704.597,450
Cu II,4758.433,,100
Cu I,4767.49,4767.43,75
Cu I,4776.22,4776.180,20
Cu I,4794.00,4793.99,150
Cu I,4797.042,4797.031,20
Cu II,4812.948,,400
Cu I,4842.290,4842.275,25
Cu II,4851.262,,120
Cu II,4854.988,,300
Cu I,4866.10,4866.16,75
Cu II,4873.304,,100
Cu II,4901.427,,150
Cu II,4909.734,,1000
Cu II,4918.376,,500
Cu II,4926.424,,200
Cu III,4927.41,,150
Cu II,4931.698,,900
Cu I,4936.69,4936.577,0
Cu II,4943.026,,120
Cu II,4953.724,,700
Cu II,4985.506,,500
Cu II,5006.801,,400
Cu II,5009.851,,350
Cu II,5012.620,,400
Cu I,5016.611,5016.618,400
Cu II,5021.279,,350
Cu I,5034.36,5034.246,100
Cu II,5039.016,,200
Cu II,5047.348,,300
Cu II,5051.793,,900
Cu II,5058.910,,400
Cu II,5065.459,,500
Cu II,5067.094,,450
Cu II,5072.302,,350
Cu I,5076.173,5076.181,100
Cu II,5088.277,,450
Cu II,5093.816,,420
Cu III,5094.28,,400
Cu II,5100.067,,350
Cu I,5105.541,5105.548,1500
Cu I,5111.913,5111.920,300
Cu I,5115.49,5115.509,10
Cu II,5124.476,,250
Cu I,5142.7,5142.87,10
Cu I,5144.120,5144.122,550
Cu I,5153.235,5153.238,2000
Cu II,5158.093,,100
Cu I,5158.36,5158.36,50
Cu III,5168.97,,200
Cu I,5175.60,5175.60,1
Cu II,5183.367,,100
Cu I,5200.87,5200.919,500
Cu III,5208.34,,400
Cu I,5212.780,5212.767,140
Cu I,5218.202,5218.202,2500
Cu III,5219.21,,600
Cu I,5220.070,5220.070,500
Cu I,5237.65,5237.70,10
Cu I,5250.52,5250.504,500
Cu III,5268.59,,200
Cu II,5269.991,,100
Cu II,5276.525,,100
Cu I,5283.530,5283.543,5
Cu I,5292.517,5292.524,1650
Cu I,5304.17,5304.144,0
Cu I,5304.17,5304.234,0
Cu III,5317.78,,400
Cu I,5320.80,5320.85,0
Cu I,5323.78,5323.815,3
Cu I,5352.666,5352.664,300
Cu I,5354.95,5354.993,250
Cu I,5357.33,5357.11,3
Cu I,5360.030,5360.034,200
Cu II,5368.383,,100
Cu III,5369.79,,300
Cu I,5371.28,5371.358,0
Cu I,5375.20,5374.975,0
Cu I,5375.20,5375.067,0
Cu XVI,5375.8,5375.8,
Cu I,5376.867,5376.864,5
Cu I,5378.16,5378.101,0
Cu I,5391.62,5391.680,450
Cu I,5398.408,5398.411,0
Cu I,5408.34,5408.367,100
Cu III,5418.48,,350
Cu I,5432.05,5432.062,250
Cu I,5463.138,5463.124,150
Cu III,5494.94,,250
Cu I,5530.02,5530.313,1
Cu I,5535.78,5535.785,50
Cu I,5554.935,5554.935,100
Cu III,5573.94,,50
Cu III,5609.00,,100
Cu I,5629.2,5629.15,1
Cu I,5646.5,5646.450,2
Cu I,5700.240,5700.240,1500
Cu III,5702.12,,75
Cu I,5727.96,5727.931,5
Cu I,5732.325,5732.331,75
Cu III,5768.56,,100
Cu I,5769.75,5769.64,0
Cu I,5782.132,5782.126,1500
Cu II,5805.989,,150
Cu I,5831.26,5831.28,1
Cu II,5833.515,,100
Cu III,5850.72,,100
Cu I,5851.1,5850.80,2
Cu I,5856.94,5856.971,5
Cu XXVIII,,5881,
Cu II,5897.971,,200
Cu I,5934.75,5934.74,1
Cu II,5937.577,,120
Cu II,5941.196,,400
Cu III,5965.25,,200
Cu I,5966.59,5966.44,3
Cu II,5993.260,,100
Cu II,6000.120,,650
Cu II,6023.264,,100
