ion,airwave,ritzwave,relint
Ar II,4440.1213,4440.12110,13
Ar II,4445.846,4445.84791,5
Ar II,4448.4587,4448.45934,14
Ar II,4448.8791,4448.87916,166
Ar III,4449.201,4449.206,7
Ar II,4449.521,4449.5203,7
Ar II,4456.55,4456.55075,1
Ar II,4458.885,4458.87904,1
Ar II,4460.5558,4460.55706,35
Ar II,4474.7591,4474.75916,347
Ar II,4481.8104,4481.81045,646
Ar II,4490.9813,4490.98136,48
Ar II,4498.5374,4498.5383,25
Ar II,4502.9265,4502.9272,42
Ar II,4503.08,4503.08810,1
Ar VIII,4504.7,4504.3,
Ar II,4509.957,4509.9643,2
Ar I,4510.733,4510.733,100
Ar II,4516.095,4516.10273,1
Ar II,4517.5363,4517.53542,4
Ar I,4522.323,4522.323,20
Ar II,4530.5522,4530.55209,63
Ar II,4535.4905,4535.49051,21
Ar II,4537.6409,4537.6423,13
Ar II,4538.7102,4538.71052,4
Ar II,4543.8702,4543.86908,10
Ar I,,4544.746,
Ar II,4545.0516,4545.05166,1738
Ar II,4547.7582,4547.75828,20
Ar III,4548.565,4548.5516,2
Ar I,,4554.324,
Ar II,4561.0124,4561.01276,7
Ar II,4563.7423,4563.7427,37
Ar II,4564.4055,4564.40540,42
Ar III,4565.210,4565.206,8
Ar II,4572.894,4572.89124,2
Ar II,4579.3493,4579.34934,871
Ar I,,4584.956,
Ar I,,4586.611,
Ar I,,4587.209,
Ar II,4587.895,4587.89089,3
Ar I,,4589.289,
Ar II,4589.8976,4589.89759,25704
Ar II,4593.4476,4593.4483,4
Ar I,4596.097,4596.097,15
Ar II,4598.7625,4598.76258,182
Ar II,4600.02,4600.01880,1
Ar II,4609.5669,4609.56692,2291
Ar II,4611.2432,4611.2444,9
Ar II,4614.10,4614.1106,1
Ar V,4625.47,4625.39,
Ar I,4628.441,4628.441,7
Ar VIII,4630.8,4631,
Ar II,4637.2324,4637.23239,148
Ar I,,4642.137,
Ar I,,4647.489,
Ar VIII,4648.0,4648,
Ar VIII,4648.0,4648,
Ar II,4657.9009,4657.90090,1445
Ar II,4666.260,4666.26360,1
Ar II,4681.4971,4681.49686,5
Ar II,4682.2759,4682.27587,21
Ar III,4687.618,4687.5929,5
Ar I,4702.316,4702.316,15
Ar II,4703.3576,4703.3571,15
Ar II,4710.8230,4710.82366,14
Ar IV,4711.35,4711.26,
Ar II,4721.5913,4721.59064,32
Ar II,4726.8681,4726.86807,23442
Ar II,4730.672,4730.67157,7
Ar III,4731.386,4731.41,7
Ar II,4732.0530,4732.05302,200
Ar II,4735.9055,4735.90548,1000
Ar IV,4740.20,4740.12,
Ar IV,4740.20,4740.12,
Ar II,4743.19,4743.195,0
Ar I,,4746.821,
Ar I,,4752.939,
Ar II,4757.2197,4757.21993,5
Ar II,4764.8644,4764.86444,2344
Ar I,,4768.673,
Ar III,4772.166,4772.189,4
Ar II,4786.150,4786.1483,6
Ar II,4792.0818,4792.08185,17
Ar II,4792.59,4792.590,0
Ar II,4793.71,4793.711,0
Ar I,,4798.742,
Ar III,4801.368,4801.405,2
Ar II,4806.0202,4806.02014,1820
Ar I,,4835.970,
Ar I,,4836.697,
Ar II,4841.20,4841.197,0.5
Ar II,4847.8095,4847.80955,832
Ar III,4847.846,4847.88,11
Ar II,4847.9991,4847.9977,9
Ar II,4856.156,4856.1557,1
Ar II,4865.9109,4865.91056,83
Ar II,4867.5554,4867.5560,17
Ar I,,4876.261,
Ar II,4877.120,4877.1202,4
Ar II,4879.8634,4879.86345,2239
Ar II,4882.2424,4882.2431,21
Ar I,,4886.290,
Ar I,,4887.947,
Ar II,4888.2605,4888.2611,8
Ar II,4889.0419,4889.04194,288
Ar III,4891.984,4891.9581,6
Ar I,,4894.691,
Ar II,4904.7514,4904.75143,107
Ar II,4914.3151,4914.31459,7
Ar I,,4921.034,
Ar II,4933.2089,4933.20891,251
Ar II,4936.083,4936.08555,3
Ar I,,4937.720,
Ar II,4942.9210,4942.9215,19
Ar II,4949.3999,4949.39807,6
Ar II,4952.924,4952.92311,2
Ar II,4955.1096,4955.1112,8
Ar I,,4956.750,
Ar II,4959.478,4959.48667,1
Ar II,4965.0794,4965.07942,891
Ar II,4972.1599,4972.15984,100
Ar II,4980.025,4980.03313,0.5
Ar I,,4989.943,
Ar II,4990.72,4990.73652,0.5
Ar III,4992.617,4992.617,10
Ar II,4993.45,4993.45575,0.5
Ar II,4993.746,4993.7552,2
Ar II,4996.782,4996.79301,2
Ar II,5009.3342,5009.33420,355
Ar II,5014.92,5014.932,1
Ar II,5017.1626,5017.16264,7413
Ar II,5017.6337,5017.63384,14
Ar II,5024.778,5024.7938,1
Ar II,5030.700,5030.6820,1
Ar I,,5032.024,
Ar II,5034.40,5034.40128,0.5
Ar II,5037.77,5037.77036,0.5
