ion,airwave,ritzwave,relint
Ne VII,3873.20,3873.31,19
Ne III,3874.72,3874.729,100
Ne III,3877.43,3877.405,180
Ne III,3879.18,3879.179,120
Ne III,3881.52,3881.52,120
Ne I,3882.698,3882.7115,20
Ne VI,3883.1,3883.1,38
Ne VII,3884.2,3884.4,260
Ne I,3887.134,3887.1435,10
Ne I,3889.427,3889.4333,50
Ne VII,3894.00,3894.01,30
Ne II,3896.847,3896.8471,100
Ne I,3899.723,3899.7424,20
Ne II,,3903.848,
Ne VII,3905.10,3905.25,5
Ne III,3907.40,3907.37,90
Ne III,3909.66,3909.69,200
Ne VII,3912.30,3912.04,1
Ne III,3917.24,3917.24,200
Ne III,,3917.263,0m
Ne III,3921.03,3921.01,700
Ne III,3921.03,3921.02,700
Ne III,3921.03,3921.11,700
Ne II,3930.298,3930.2953,12
Ne II,3933.469,3933.4655,180
Ne II,3942.258,3942.2644,160
Ne I,3943.540,3943.54,20
Ne III,3956.60,3956.61,160
Ne II,3958.038,3958.0404,22
Ne III,3959.91,3959.90,100
Ne III,3960.587,3960.584,180
Ne III,3962.01,3961.90,240
Ne III,3965.62,3965.62,200
Ne III,3966.12,3966.15,160
Ne III,3967.47,3967.47,
Ne II,3971.40,3971.382,10
Ne III,3972.79,3972.80,90
Ne II,3973.455,3973.4570,12
Ne III,3974.89,3974.87,200
Ne III,3981.70,3981.70,140
Ne III,3983.96,3983.96,180
Ne I,3984.065,3984.05,20
Ne I,3984.253,3984.25,70
Ne II,3985.725,3985.7260,160
Ne I,3995.298,3995.30,10
Ne I,3995.721,3995.70,10
Ne I,3998.594,3998.60,10
Ne I,3999.263,3999.28,10
Ne II,3999.471,3999.4719,100
Ne VIII,4001.9,4003,100
Ne II,4010.68,4010.693,10
Ne I,4013.752,4013.75,10
Ne I,4013.995,4013.97,20
Ne I,4020.015,4020.04,20
Ne II,4022.42,4022.4275,5
Ne II,4024.043,4024.0420,80
Ne I,4037.262,4037.26,50
Ne I,4037.615,4037.60,150
Ne I,4037.696,4037.70,50
Ne I,4042.327,4042.33,100
Ne I,4042.642,4042.65,500
Ne I,4045.662,4045.68,20
Ne II,4054.43,4054.425,6
Ne II,4062.9730,4062.9730,160
Ne I,4064.036,4064.02,500
Ne I,4064.829,4064.83,150
Ne III,4067.35,4067.336,70
Ne I,4068.835,4068.83,300
Ne I,4069.243,4069.23,300
Ne I,4069.389,4069.39,50
Ne I,4079.359,4079.35,20
Ne I,4080.148,4080.14,500
Ne II,4080.510,4080.5144,140
Ne III,4084.42,4084.383,70
Ne II,4086.772,4086.7686,80
Ne VIII,4092.8,4092.0,20
Ne II,4098.732,4098.7318,12
Ne II,4098.8645,4098.8638,160
Ne II,4100.353,4100.3522,120
Ne II,4101.91,4101.9268,12
Ne I,4111.882,4111.86,10
Ne I,4112.100,4112.10,150
Ne II,4112.394,4112.3950,100
Ne I,4112.694,4112.69,200
Ne I,4112.865,4112.87,100
Ne II,4114.13,4114.094,16
Ne III,4116.94,4116.876,30
Ne II,4118.199,4118.1966,80
Ne I,4126.941,4126.9650,20
Ne I,4128.072,4128.076,300
Ne I,4130.512,4130.524,200
Ne I,4131.0613,4131.060,700
Ne II,4133.691,4133.6898,180
Ne II,4133.868,4133.8703,60
Ne III,4138.33,4138.34,50
Ne III,4142.88,4142.88,160
Ne III,4146.97,4146.96,50
Ne III,4150.19,4150.21,90
Ne II,4150.6893,4150.6899,180
Ne III,4152.28,4152.32,50
Ne I,4164.8079,4164.807,500
Ne I,4166.091,4166.099,300
Ne I,4173.966,4173.95,20
Ne I,4174.3667,4174.367,700
Ne I,4175.2197,4175.219,600
Ne I,4175.488,4175.49,400
Ne VIII,4181.8,4181.9,20
Ne II,4186.65,4186.6618,40
Ne I,4196.415,4196.420,150
Ne I,4198.1018,4198.098,700
Ne III,4198.61,4198.61,30
Ne III,4199.59,4199.64,90
Ne III,4202.92,4202.93,90
Ne I,4203.270,4203.27,20
Ne I,4203.270,4203.27,20
